House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,W_AC_kW,UPS_kW
House20,2018-06-04 12:00:00,0.7537416666666666,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00020333333333333328,0.0001,0.7388383333333333
House20,2018-06-04 13:00:00,0.9116233333333332,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0003766666666666668,0.0001883333333333334,0.8707583333333329
House20,2018-06-04 14:00:00,1.0273733333333337,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0003850000000000002,0.00015666666666666658,1.0184349999999998
House20,2018-06-04 15:00:00,0.1853649999999996,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,6.166666666666666e-05,9.16666666666667e-05,0.17536666666666625
House20,2018-06-04 16:00:00,0.8269000000000002,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00017666666666666666,0.00011166666666666672,0.8086183333333335
House20,2018-06-04 17:00:00,0.978035,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0003050000000000001,0.0002833333333333334,0.961865
House20,2018-06-04 18:00:00,1.0068383333333333,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.0003800000000000002,0.00030833333333333337,0.9944666666666668
House20,2018-06-04 19:00:00,0.9412816666666668,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,0.00038500000000000025,0.0003433333333333336,0.9005483333333332
House20,2018-06-04 20:00:00,2.151886666666667,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.2468216666666667,0.0012699999999999999,0.8748933333333332
House20,2018-06-04 21:00:00,2.565606666666666,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.810773333333333,0.0018249999999999991,0.7608083333333335
House20,2018-06-04 22:00:00,2.5000150000000003,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.7852733333333333,0.0019633333333333347,0.7224133333333335
House20,2018-06-04 23:00:00,2.611843333333334,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.8530233333333328,0.002123333333333333,0.7686283333333335
House20,2018-06-05 00:00:00,2.498675000000001,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.8190433333333336,0.002096666666666668,0.6894466666666665
House20,2018-06-05 01:00:00,2.312276666666667,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.7536316666666667,0.0018966666666666665,0.5686599999999996
House20,2018-06-05 02:00:00,2.5387183333333336,1361.25,3,1986,10.0,No,8,4.0,2.0,1.0,1.0,1 phase,9,8,1,0,9,0,6,3,1,5,13,1,0,2,27,1,1.7540566666666664,0.0018916666666666665,0.7930649999999999
