House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,Kitchen_kW
House40,2018-06-04 23:00:00,5.51412,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.002191666666666666,0.17635333333333333
House40,2018-06-05 00:00:00,5.493586666666667,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.002236666666666665,0.1753
House40,2018-06-05 01:00:00,6.970325,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.2757983333333331,0.17635833333333328
House40,2018-06-05 02:00:00,7.497151666666667,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.8840900000000005,0.26515666666666665
House40,2018-06-05 03:00:00,7.231548333333333,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.83956,0.16556333333333342
House40,2018-06-05 04:00:00,3.3757583333333367,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.7993233333333336,0.08399166666666656
House40,2018-06-05 05:00:00,6.957916666666668,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,1.7625833333333334,0.16506999999999994
House40,2018-06-05 06:00:00,5.896651666666667,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.821833333333333,0.16065000000000002
House40,2018-06-05 07:00:00,5.160623333333332,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.0024416666666666675,0.1637716666666667
House40,2018-06-05 08:00:00,0.7911516666666679,2994.76,2,2014,10.0,Yes ,7,4.0,1.0,1.0,1.0,3 phase,7,4,1,2,5,2,4,0,2,7,10,0,1,1,160,1,0.000375,0.0250133333333334
