House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_BR_kW,AC_LR_kW,Kitchen_kW,AC_BR_kW.1,BR_kW
House24,2018-10-09 19:00:00,0.8462116666666668,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.35244000000000003,0.17848000000000006,0.04496999999999998,0.00017333333333333315,0.01524833333333333
House24,2018-10-09 20:00:00,1.0657949999999998,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.15498166666666666,0.08041166666666665,0.03692166666666668,0.0005099999999999997,0.5186550000000008
House24,2018-10-09 21:00:00,1.3728416666666663,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.1919833333333333,0.099215,0.021808333333333325,0.0007666666666666668,0.8050150000000001
House24,2018-10-09 22:00:00,1.460051666666666,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.33555666666666656,0.1706983333333333,0.027151666666666668,0.0007216666666666664,0.7383433333333332
House24,2018-10-09 23:00:00,1.1154149999999996,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.292505,0.14909166666666668,0.003595000000000001,0.0006,0.5695616666666669
House24,2018-10-10 00:00:00,1.0288616666666668,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.21710666666666667,0.11149000000000002,0.021481666666666663,0.000395,0.5086966666666669
House24,2018-10-10 01:00:00,0.8908316666666666,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.19694666666666674,0.10119166666666662,0.022315000000000026,0.00030499999999999993,0.39163833333333337
House24,2018-10-10 02:00:00,0.7953116666666668,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.1495733333333334,0.07752999999999996,0.008520000000000003,0.0003683333333333331,0.3929883333333329
House24,2018-10-10 03:00:00,0.8477616666666665,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.1601916666666667,0.08288,0.014954999999999991,0.0003316666666666665,0.39703
House24,2018-10-10 04:00:00,0.6488250000000001,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.12714166666666668,0.06621833333333335,0.013491666666666662,0.0002799999999999999,0.20114833333333326
House24,2018-10-10 05:00:00,0.53374,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.10125666666666673,0.05334499999999998,0.017644999999999997,0.00018333333333333315,0.17524666666666658
House24,2018-10-10 06:00:00,0.3192183333333335,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.008110000000000003,0.007078333333333336,0.04568666666666667,8.666666666666667e-05,0.010221666666666684
House24,2018-10-10 07:00:00,0.23792999999999995,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007945,0.006904999999999999,0.04061333333333332,7.999999999999998e-05,0.0017849999999999988
House24,2018-10-10 08:00:00,0.11386833333333335,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.00788,0.006679999999999999,0.02338000000000001,0.0001416666666666667,0.0015866666666666668
House24,2018-10-10 09:00:00,0.10371333333333332,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.008056666666666667,0.01067166666666667,0.022875,0.00011500000000000004,0.0014466666666666664
House24,2018-10-10 10:00:00,0.13494333333333328,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.008003333333333333,0.015998333333333316,0.027513333333333355,0.00019833333333333332,0.0014199999999999992
House24,2018-10-10 11:00:00,0.3858616666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.09775833333333334,0.051315,0.06097,0.00014500000000000006,0.001401666666666666
House24,2018-10-10 12:00:00,0.2784766666666666,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.07630333333333343,0.03929499999999999,0.016431666666666643,8.66666666666667e-05,0.0005216666666666666
House24,2018-10-10 13:00:00,0.2754716666666666,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.008434999999999995,0.006566666666666663,0.01711833333333334,0.00016833333333333346,0.001295
House24,2018-10-10 14:00:00,0.20462,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.008483333333333327,0.0064566666666666704,0.030096666666666674,0.00011666666666666675,0.0012333333333333345
House24,2018-10-10 15:00:00,1.408975,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007873333333333328,0.0076783333333333295,0.039538333333333335,0.0007983333333333334,1.09705
House24,2018-10-10 16:00:00,1.478286666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007731666666666663,0.007666666666666659,0.03144999999999998,0.0008066666666666666,1.2180566666666668
House24,2018-10-10 17:00:00,1.9641150000000005,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.0077199999999999986,0.00790166666666667,0.015360000000000004,0.0009283333333333336,1.7826099999999994
House24,2018-10-10 18:00:00,1.9390500000000004,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.00758666666666667,0.007859999999999994,0.041076666666666664,0.00085,1.5403966666666669
House24,2018-10-10 19:00:00,2.3336916666666667,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.007481666666666669,0.007991666666666664,0.03531499999999998,0.000955,1.974265
House24,2018-10-10 20:00:00,1.9838466666666668,2722.51,1,1980,12.0,No,6,3.0,1.0,1.0,1.0,1 phase,9,4,4,1,7,2,4,2,1,7,8,1,0,1,13,1,0.27151166666666665,0.13909500000000005,0.015223333333333337,0.0010100000000000007,1.4455200000000004
