House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,AC_kW.1,Kitchen_kW
House3,2018-06-04 12:00:00,3.414148333333334,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.2950466666666671,0.3925400000000001,0.2402216666666667
House3,2018-06-04 13:00:00,4.758138333333336,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.443535,0.4201216666666666,1.0134033333333334
House3,2018-06-04 14:00:00,5.222004999999999,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.784263333333333,0.2503966666666668,0.4909866666666667
House3,2018-06-04 15:00:00,2.7061066666666687,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,1.566014999999999,0.0034833333333333326,0.3017600000000003
House3,2018-06-04 16:00:00,4.636214999999999,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.0064466666666667,0.016124999999999997,0.4092383333333335
House3,2018-06-04 17:00:00,6.429066666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.1949266666666665,0.013585000000000005,0.4194266666666666
House3,2018-06-04 18:00:00,7.003263333333333,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.1856166666666668,0.014018333333333344,0.460475
House3,2018-06-04 19:00:00,5.688599999999997,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.156055,0.006105000000000004,0.44495833333333307
House3,2018-06-04 20:00:00,5.1201783333333335,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.120295,0.09918666666666667,0.4365033333333333
House3,2018-06-04 21:00:00,5.393826666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.0759616666666667,0.3658183333333332,0.6337783333333334
House3,2018-06-04 22:00:00,5.255356666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.077843333333333,0.3683850000000001,0.5807983333333334
House3,2018-06-04 23:00:00,5.175795,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.0658483333333337,0.382575,0.4548283333333333
House3,2018-06-05 00:00:00,4.633283333333334,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.0564016666666665,0.3719583333333334,0.4544066666666666
House3,2018-06-05 01:00:00,4.018233333333332,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.0419566666666658,0.37425,0.45163000000000003
House3,2018-06-05 02:00:00,5.063531666666667,10890.0,2,1992,10.0,Yes,14,7.0,5.0,1.0,1.0,3 phase,25,20,3,2,20,5,4,2,1,25,14,1,2,1,59,1,2.0742516666666666,0.382165,1.3596833333333334
