House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_LR_kW,AC_BR_kW,UPS_kW
House13,2018-06-04 18:00:00,0.7133716666666667,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00018833333333333324,0.03184,0.399045
House13,2018-06-04 19:00:00,0.6802683333333334,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00016999999999999999,0.03062833333333333,0.36849
House13,2018-06-04 20:00:00,1.1160083333333333,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003783333333333332,0.2876983333333333,0.2149916666666667
House13,2018-06-04 21:00:00,1.321741666666667,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00033833333333333306,0.4159499999999999,0.2960533333333333
House13,2018-06-04 22:00:00,0.7107066666666667,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00038833333333333374,0.21494166666666684,0.10155000000000004
House13,2018-06-04 23:00:00,0.9307333333333332,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0002733333333333332,0.20767333333333327,0.3485016666666667
House13,2018-06-05 00:00:00,1.6287266666666669,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.00058,0.675148333333333,0.1297016666666667
House13,2018-06-05 01:00:00,1.0910833333333334,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0004233333333333331,0.4066183333333335,0.230255
House13,2018-06-05 02:00:00,1.0717933333333336,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0005116666666666667,0.4210916666666668,0.14846166666666666
House13,2018-06-05 03:00:00,1.233471666666667,1987.43,2,2013,10.0,No,6,3.0,2.0,0.0,1.0,3 phase,4,2,1,1,4,0,3,1,1,8,7,0,0,1,25,1,0.0003716666666666667,0.3762999999999999,0.2658816666666665
