House_ID,Date_Time,Usage_kW,Property_Area_sqft,No_of_Floors,Building_Year,Ceiling_Height_ft,Ceiling_Insulation,Total_No_of_Rooms,Bedrooms,Livingrooms,Drawingrooms,Kitchen,Connection_Type,No_of_People,Adults_14_to_60,Children_0_to_13,Seniors,Permanent_Residents,Temporary_Residents,No_of_ACs,No_of_Refrigerators,No_of_WashingMachines,No_of_Electronic_Devices,No_of_Fans,No_of_Water_Pumps,No_of_Electric_Heaters,No_of_Irons,No_of_Lighting_Devices,No_of_UPS,AC_kW,UPS_kW,Refrigerator_kW
House5,2018-06-04 11:00:00,0.1877983333333336,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.10712333333333317,0.05061166666666665,0.02872666666666663
House5,2018-06-04 12:00:00,2.2142233333333348,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.3102500000000001,0.4673333333333333,0.26979833333333336
House5,2018-06-04 13:00:00,0.7867566666666668,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0037366666666666655,0.4076333333333333,0.18027833333333326
House5,2018-06-04 14:00:00,0.8697499999999999,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.005055,0.3374116666666667,0.27527166666666664
House5,2018-06-04 15:00:00,0.7009933333333334,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.0014949999999999994,0.3754966666666668,0.14717
House5,2018-06-04 16:00:00,0.4554933333333335,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.00036166666666666666,0.06588666666666661,0.02499999999999997
House5,2018-06-04 17:00:00,1.4857633333333338,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.5618,0.4106833333333333,0.3325500000000001
House5,2018-06-04 18:00:00,1.1635950000000004,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.31596500000000005,0.38595999999999997,0.25321999999999995
House5,2018-06-04 19:00:00,1.2527133333333336,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.17636,0.4581350000000001,0.3897999999999999
House5,2018-06-04 20:00:00,0.9854666666666668,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.10940166666666666,0.4719450000000001,0.2294916666666667
House5,2018-06-04 21:00:00,1.0422416666666667,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.020513333333333345,0.4111883333333333,0.3620933333333332
House5,2018-06-04 22:00:00,0.8436349999999997,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.013696666666666656,0.4421083333333332,0.18117833333333336
House5,2018-06-04 23:00:00,2.002126666666666,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.6158783333333339,0.2998683333333333,0.3623833333333331
House5,2018-06-05 00:00:00,2.4829466666666664,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.8026133333333333,0.3182900000000001,0.27323499999999995
House5,2018-06-05 01:00:00,1.9075016666666669,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.2194716666666667,0.3972533333333333,0.1778316666666667
House5,2018-06-05 02:00:00,2.844018333333333,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.1355833333333336,0.40436,0.3943266666666666
House5,2018-06-05 03:00:00,2.496841666666666,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,1.1143233333333336,0.21463000000000002,0.16867333333333334
House5,2018-06-05 04:00:00,2.2417266666666658,3267.01,2,1985,11.0,No,5,2.0,1.0,1.0,1.0,3 phase,5,4,0,1,5,0,2,2,1,6,6,1,1,1,14,1,0.96907,0.1024516666666667,0.2862416666666666
